Operation, NumHashes, iteration, time taken (microseconds)
initialize,N/A,1,21
initialize,N/A,2,10
initialize,N/A,3,7
initialize,N/A,4,6
initialize,N/A,5,6
initialize,N/A,6,6
initialize,N/A,7,8
initialize,N/A,8,6
initialize,N/A,9,8
initialize,N/A,10,7
generate,200,1,62
ASLR,200,1,64
ASLR,200,2,65
ASLR,200,3,65
ASLR,200,4,65
ASLR,200,5,64
ASLR,200,6,64
ASLR,200,7,64
ASLR,200,8,64
ASLR,200,9,64
ASLR,200,10,64
ASLR,200,11,64
ASLR,200,12,64
ASLR,200,13,64
ASLR,200,14,64
ASLR,200,15,64
ASLR,200,16,65
ASLR,200,17,65
ASLR,200,18,64
ASLR,200,19,64
ASLR,200,20,64
ASLR,200,21,65
ASLR,200,22,64
ASLR,200,23,65
ASLR,200,24,64
ASLR,200,25,64
ASLR,200,26,64
ASLR,200,27,64
ASLR,200,28,64
ASLR,200,29,64
ASLR,200,30,64
ASLR,200,31,64
ASLR,200,32,64
ASLR,200,33,64
ASLR,200,34,71
ASLR,200,35,64
ASLR,200,36,64
ASLR,200,37,64
ASLR,200,38,64
ASLR,200,39,64
ASLR,200,40,64
ASLR,200,41,64
ASLR,200,42,64
ASLR,200,43,64
ASLR,200,44,80
ASLR,200,45,66
ASLR,200,46,71
ASLR,200,47,64
ASLR,200,48,64
ASLR,200,49,64
ASLR,200,50,64
ASLR,200,51,64
ASLR,200,52,64
ASLR,200,53,64
ASLR,200,54,64
ASLR,200,55,64
ASLR,200,56,64
ASLR,200,57,64
ASLR,200,58,64
ASLR,200,59,64
ASLR,200,60,64
ASLR,200,61,64
ASLR,200,62,64
ASLR,200,63,64
ASLR,200,64,71
ASLR,200,65,64
ASLR,200,66,64
ASLR,200,67,64
ASLR,200,68,64
ASLR,200,69,81
ASLR,200,70,64
ASLR,200,71,64
ASLR,200,72,64
ASLR,200,73,64
ASLR,200,74,64
ASLR,200,75,64
ASLR,200,76,65
ASLR,200,77,65
ASLR,200,78,65
ASLR,200,79,64
ASLR,200,80,64
ASLR,200,81,64
ASLR,200,82,64
ASLR,200,83,64
ASLR,200,84,64
ASLR,200,85,64
ASLR,200,86,64
ASLR,200,87,65
ASLR,200,88,65
ASLR,200,89,64
ASLR,200,90,64
ASLR,200,91,64
ASLR,200,92,64
ASLR,200,93,64
ASLR,200,94,64
ASLR,200,95,71
ASLR,200,96,64
ASLR,200,97,64
ASLR,200,98,64
ASLR,200,99,64
ASLR,200,100,102
