Operation, NumHashes, iteration, time taken (microseconds)
initialize,N/A,1,24
initialize,N/A,2,9
initialize,N/A,3,8
initialize,N/A,4,7
initialize,N/A,5,7
initialize,N/A,6,6
initialize,N/A,7,6
initialize,N/A,8,7
initialize,N/A,9,6
initialize,N/A,10,7
generate,200,1,62
ASLR,200,1,80
ASLR,200,2,80
ASLR,200,3,81
ASLR,200,4,88
ASLR,200,5,80
ASLR,200,6,80
ASLR,200,7,82
ASLR,200,8,80
ASLR,200,9,80
ASLR,200,10,80
ASLR,200,11,80
ASLR,200,12,80
ASLR,200,13,80
ASLR,200,14,80
ASLR,200,15,81
ASLR,200,16,80
ASLR,200,17,80
ASLR,200,18,80
ASLR,200,19,82
ASLR,200,20,86
ASLR,200,21,80
ASLR,200,22,81
ASLR,200,23,80
ASLR,200,24,80
ASLR,200,25,80
ASLR,200,26,80
ASLR,200,27,80
ASLR,200,28,88
ASLR,200,29,82
ASLR,200,30,81
ASLR,200,31,80
ASLR,200,32,87
ASLR,200,33,80
ASLR,200,34,80
ASLR,200,35,80
ASLR,200,36,80
ASLR,200,37,80
ASLR,200,38,81
ASLR,200,39,80
ASLR,200,40,81
ASLR,200,41,80
ASLR,200,42,80
ASLR,200,43,80
ASLR,200,44,80
ASLR,200,45,80
ASLR,200,46,80
ASLR,200,47,80
ASLR,200,48,80
ASLR,200,49,85
ASLR,200,50,82
ASLR,200,51,81
ASLR,200,52,81
ASLR,200,53,85
ASLR,200,54,83
ASLR,200,55,81
ASLR,200,56,81
ASLR,200,57,81
ASLR,200,58,80
ASLR,200,59,83
ASLR,200,60,88
ASLR,200,61,81
ASLR,200,62,81
ASLR,200,63,80
ASLR,200,64,81
ASLR,200,65,154
ASLR,200,66,121
ASLR,200,67,82
ASLR,200,68,86
ASLR,200,69,83
ASLR,200,70,82
ASLR,200,71,81
ASLR,200,72,81
ASLR,200,73,81
ASLR,200,74,84
ASLR,200,75,83
ASLR,200,76,81
ASLR,200,77,122
ASLR,200,78,83
ASLR,200,79,83
ASLR,200,80,89
ASLR,200,81,82
ASLR,200,82,81
ASLR,200,83,81
ASLR,200,84,81
ASLR,200,85,82
ASLR,200,86,88
ASLR,200,87,98
ASLR,200,88,81
ASLR,200,89,81
ASLR,200,90,81
ASLR,200,91,80
ASLR,200,92,85
ASLR,200,93,81
ASLR,200,94,80
ASLR,200,95,81
ASLR,200,96,81
ASLR,200,97,84
ASLR,200,98,81
ASLR,200,99,81
ASLR,200,100,81
