Operation, NumHashes, iteration, time taken (microseconds)
initialize,N/A,1,31
initialize,N/A,2,12
initialize,N/A,3,7
initialize,N/A,4,6
initialize,N/A,5,7
initialize,N/A,6,11
initialize,N/A,7,7
initialize,N/A,8,7
initialize,N/A,9,7
initialize,N/A,10,7
generate,100,1,35
ASLR,100,1,36
ASLR,100,2,35
ASLR,100,3,35
ASLR,100,4,35
ASLR,100,5,35
ASLR,100,6,35
ASLR,100,7,35
ASLR,100,8,35
ASLR,100,9,35
ASLR,100,10,35
ASLR,100,11,35
ASLR,100,12,35
ASLR,100,13,35
ASLR,100,14,35
ASLR,100,15,35
ASLR,100,16,35
ASLR,100,17,35
ASLR,100,18,35
ASLR,100,19,35
ASLR,100,20,42
ASLR,100,21,42
ASLR,100,22,35
ASLR,100,23,35
ASLR,100,24,35
ASLR,100,25,35
ASLR,100,26,35
ASLR,100,27,35
ASLR,100,28,35
ASLR,100,29,35
ASLR,100,30,35
ASLR,100,31,35
ASLR,100,32,48
ASLR,100,33,36
ASLR,100,34,35
ASLR,100,35,35
ASLR,100,36,35
ASLR,100,37,35
ASLR,100,38,35
ASLR,100,39,35
ASLR,100,40,35
ASLR,100,41,35
ASLR,100,42,35
ASLR,100,43,35
ASLR,100,44,36
ASLR,100,45,35
ASLR,100,46,36
ASLR,100,47,35
ASLR,100,48,35
ASLR,100,49,35
ASLR,100,50,35
ASLR,100,51,35
ASLR,100,52,35
ASLR,100,53,35
ASLR,100,54,35
ASLR,100,55,35
ASLR,100,56,35
ASLR,100,57,35
ASLR,100,58,35
ASLR,100,59,35
ASLR,100,60,35
ASLR,100,61,35
ASLR,100,62,35
ASLR,100,63,35
ASLR,100,64,35
ASLR,100,65,35
ASLR,100,66,42
ASLR,100,67,35
ASLR,100,68,35
ASLR,100,69,35
ASLR,100,70,35
ASLR,100,71,35
ASLR,100,72,35
ASLR,100,73,35
ASLR,100,74,35
ASLR,100,75,35
ASLR,100,76,35
ASLR,100,77,35
ASLR,100,78,35
ASLR,100,79,35
ASLR,100,80,35
ASLR,100,81,35
ASLR,100,82,35
ASLR,100,83,35
ASLR,100,84,37
ASLR,100,85,35
ASLR,100,86,35
ASLR,100,87,35
ASLR,100,88,42
ASLR,100,89,35
ASLR,100,90,42
ASLR,100,91,35
ASLR,100,92,35
ASLR,100,93,35
ASLR,100,94,35
ASLR,100,95,35
ASLR,100,96,35
ASLR,100,97,35
ASLR,100,98,35
ASLR,100,99,35
ASLR,100,100,35
