Operation, NumHashes, iteration, time taken (microseconds)
initialize,N/A,1,24
initialize,N/A,2,10
initialize,N/A,3,9
initialize,N/A,4,7
initialize,N/A,5,6
initialize,N/A,6,6
initialize,N/A,7,6
initialize,N/A,8,9
initialize,N/A,9,11
initialize,N/A,10,9
initialize,N/A,11,7
initialize,N/A,12,7
initialize,N/A,13,7
initialize,N/A,14,7
initialize,N/A,15,7
initialize,N/A,16,7
initialize,N/A,17,6
initialize,N/A,18,6
initialize,N/A,19,6
initialize,N/A,20,7
initialize,N/A,21,6
initialize,N/A,22,6
initialize,N/A,23,7
initialize,N/A,24,6
initialize,N/A,25,6
initialize,N/A,26,6
initialize,N/A,27,6
initialize,N/A,28,6
initialize,N/A,29,6
initialize,N/A,30,6
initialize,N/A,31,6
initialize,N/A,32,7
initialize,N/A,33,6
initialize,N/A,34,6
initialize,N/A,35,6
initialize,N/A,36,6
initialize,N/A,37,6
initialize,N/A,38,6
initialize,N/A,39,7
initialize,N/A,40,8
initialize,N/A,41,8
initialize,N/A,42,7
initialize,N/A,43,7
initialize,N/A,44,10
initialize,N/A,45,6
initialize,N/A,46,6
initialize,N/A,47,7
initialize,N/A,48,6
initialize,N/A,49,6
initialize,N/A,50,7
initialize,N/A,51,7
initialize,N/A,52,7
initialize,N/A,53,7
initialize,N/A,54,6
initialize,N/A,55,6
initialize,N/A,56,6
initialize,N/A,57,7
initialize,N/A,58,6
initialize,N/A,59,6
initialize,N/A,60,8
initialize,N/A,61,7
initialize,N/A,62,6
initialize,N/A,63,7
initialize,N/A,64,7
initialize,N/A,65,6
initialize,N/A,66,6
initialize,N/A,67,6
initialize,N/A,68,7
initialize,N/A,69,6
initialize,N/A,70,7
initialize,N/A,71,6
initialize,N/A,72,8
initialize,N/A,73,6
initialize,N/A,74,6
initialize,N/A,75,6
initialize,N/A,76,7
initialize,N/A,77,7
initialize,N/A,78,7
initialize,N/A,79,8
initialize,N/A,80,9
initialize,N/A,81,7
initialize,N/A,82,7
initialize,N/A,83,10
initialize,N/A,84,7
initialize,N/A,85,7
initialize,N/A,86,6
initialize,N/A,87,6
initialize,N/A,88,7
initialize,N/A,89,8
initialize,N/A,90,7
initialize,N/A,91,8
initialize,N/A,92,7
initialize,N/A,93,6
initialize,N/A,94,6
initialize,N/A,95,7
initialize,N/A,96,7
initialize,N/A,97,7
initialize,N/A,98,6
initialize,N/A,99,7
initialize,N/A,100,6
generate,100,1,34
ASLR,100,1,44
ASLR,100,2,43
ASLR,100,3,47
ASLR,100,4,43
ASLR,100,5,43
ASLR,100,6,43
ASLR,100,7,43
ASLR,100,8,43
ASLR,100,9,43
ASLR,100,10,43
ASLR,100,11,44
ASLR,100,12,43
ASLR,100,13,43
ASLR,100,14,43
ASLR,100,15,43
ASLR,100,16,43
ASLR,100,17,43
ASLR,100,18,44
ASLR,100,19,43
ASLR,100,20,43
ASLR,100,21,43
ASLR,100,22,43
ASLR,100,23,43
ASLR,100,24,43
ASLR,100,25,50
ASLR,100,26,43
ASLR,100,27,43
ASLR,100,28,44
ASLR,100,29,45
ASLR,100,30,65
ASLR,100,31,50
ASLR,100,32,47
ASLR,100,33,47
ASLR,100,34,62
ASLR,100,35,77
ASLR,100,36,47
ASLR,100,37,49
ASLR,100,38,46
ASLR,100,39,46
ASLR,100,40,45
ASLR,100,41,47
ASLR,100,42,53
ASLR,100,43,44
ASLR,100,44,43
ASLR,100,45,43
ASLR,100,46,44
ASLR,100,47,49
ASLR,100,48,46
ASLR,100,49,45
ASLR,100,50,43
ASLR,100,51,50
ASLR,100,52,43
ASLR,100,53,44
ASLR,100,54,44
ASLR,100,55,43
ASLR,100,56,44
ASLR,100,57,49
ASLR,100,58,46
ASLR,100,59,45
ASLR,100,60,43
ASLR,100,61,43
ASLR,100,62,43
ASLR,100,63,43
ASLR,100,64,43
ASLR,100,65,50
ASLR,100,66,43
ASLR,100,67,44
ASLR,100,68,43
ASLR,100,69,43
ASLR,100,70,43
ASLR,100,71,43
ASLR,100,72,43
ASLR,100,73,43
ASLR,100,74,43
ASLR,100,75,43
ASLR,100,76,43
ASLR,100,77,45
ASLR,100,78,44
ASLR,100,79,43
ASLR,100,80,43
ASLR,100,81,44
ASLR,100,82,43
ASLR,100,83,43
ASLR,100,84,43
ASLR,100,85,43
ASLR,100,86,43
ASLR,100,87,45
ASLR,100,88,43
ASLR,100,89,44
ASLR,100,90,43
ASLR,100,91,43
ASLR,100,92,43
ASLR,100,93,43
ASLR,100,94,43
ASLR,100,95,43
ASLR,100,96,43
ASLR,100,97,43
ASLR,100,98,43
ASLR,100,99,43
ASLR,100,100,50
